[2023-09-25 02:08:36] [信息     ] 
The file server is started successfully. port: 9001 
[2023-09-25 02:09:16] [信息     ] send stream to 127.0.0.1:63742 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_78.txt ,fileSize= 1024 
[2023-09-25 02:09:16] [信息     ] send stream to 127.0.0.1:65335 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_9.txt ,fileSize= 1024 
[2023-09-25 02:09:17] [信息     ] send stream to 127.0.0.1:64318 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_59.txt ,fileSize= 1024 
[2023-09-25 02:09:17] [信息     ] send stream to 127.0.0.1:55807 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_39.txt ,fileSize= 1024 
[2023-09-25 02:09:17] [信息     ] send stream to 127.0.0.1:56758 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_49.txt ,fileSize= 1024 
[2023-09-25 02:09:17] [信息     ] send stream to 127.0.0.1:60763 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_89.txt ,fileSize= 1024 
[2023-09-25 02:09:18] [信息     ] send stream to 127.0.0.1:59756 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_99.txt ,fileSize= 1024 
[2023-09-25 02:09:18] [信息     ] send stream to 127.0.0.1:64725 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_19.txt ,fileSize= 1024 
[2023-09-25 02:09:18] [信息     ] send stream to 127.0.0.1:58427 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_69.txt ,fileSize= 1024 
[2023-09-25 02:09:18] [信息     ] send stream to 127.0.0.1:65077 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_29.txt ,fileSize= 1024 
[2023-09-25 02:09:18] [信息     ] send stream to 127.0.0.1:60206 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_79.txt ,fileSize= 1024 
[2023-09-25 02:09:19] [信息     ] send stream to 127.0.0.1:59101 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_10.txt ,fileSize= 1024 
[2023-09-25 02:09:19] [信息     ] send stream to 127.0.0.1:59517 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_60.txt ,fileSize= 1024 
[2023-09-25 02:09:19] [信息     ] send stream to 127.0.0.1:65045 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_40.txt ,fileSize= 1024 
[2023-09-25 02:09:19] [信息     ] send stream to 127.0.0.1:56698 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_50.txt ,fileSize= 1024 
[2023-09-25 02:09:19] [信息     ] send stream to 127.0.0.1:57440 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_90.txt ,fileSize= 1024 
[2023-09-25 02:09:20] [信息     ] send stream to 127.0.0.1:55072 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_100.txt ,fileSize= 1024 
[2023-09-25 02:09:20] [信息     ] send stream to 127.0.0.1:60517 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_20.txt ,fileSize= 1024 
[2023-09-25 02:09:20] [信息     ] send stream to 127.0.0.1:51992 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_70.txt ,fileSize= 1024 
[2023-09-25 02:09:20] [信息     ] send stream to 127.0.0.1:52942 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_30.txt ,fileSize= 1024 
[2023-09-25 02:09:20] [信息     ] send stream to 127.0.0.1:49364 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_80.txt ,fileSize= 1024 
